timestamp,cpu_percent,ram_percent,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb,gpu_temp_c,gpu_power_w
2025-09-20 06:45:37,0.0,70.1,0.0,1998.0,16303.0,42.0,42.8
2025-09-20 06:45:38,4.7,70.3,1.0,1982.6,16303.0,42.0,41.9
2025-09-20 06:45:39,3.5,70.3,0.0,1985.4,16303.0,42.0,42.4
2025-09-20 06:45:40,9.2,73.0,1.0,9686.5,16303.0,43.0,47.4
2025-09-20 06:45:41,10.7,73.0,12.0,9715.4,16303.0,43.0,63.6
2025-09-20 06:45:42,10.2,73.1,13.0,9712.9,16303.0,43.0,62.3
2025-09-20 06:45:43,7.1,74.6,97.0,10918.0,16303.0,52.0,105.2
2025-09-20 06:45:44,4.1,73.7,1.0,10921.7,16303.0,44.0,167.0
2025-09-20 06:45:45,2.5,73.7,0.0,10921.7,16303.0,44.0,67.5
2025-09-20 06:45:46,7.5,73.7,97.0,10923.2,16303.0,53.0,163.9
2025-09-20 06:45:47,7.7,73.7,97.0,10921.0,16303.0,55.0,276.1
2025-09-20 06:45:48,6.6,73.7,97.0,10896.7,16303.0,56.0,277.9
2025-09-20 06:45:49,4.9,73.7,0.0,10881.9,16303.0,46.0,111.6
2025-09-20 06:45:50,5.4,74.1,4.0,10987.7,16303.0,45.0,68.6
2025-09-20 06:45:51,9.9,74.1,96.0,10961.4,16303.0,54.0,205.0
2025-09-20 06:45:52,11.1,74.9,1.0,10965.8,16303.0,47.0,212.5
2025-09-20 06:45:53,11.9,75.8,3.0,11124.7,16303.0,46.0,69.1
2025-09-20 06:45:54,7.9,75.8,94.0,11062.0,16303.0,53.0,112.4
2025-09-20 06:45:55,7.0,75.9,80.0,11032.2,16303.0,55.0,257.6
2025-09-20 06:45:56,7.2,75.9,2.0,11032.0,16303.0,46.0,84.5
2025-09-20 06:45:57,10.0,76.0,5.0,11026.4,16303.0,45.0,67.0
2025-09-20 06:45:58,15.2,76.0,94.0,11020.7,16303.0,54.0,240.3
2025-09-20 06:45:59,10.1,76.1,96.0,11016.9,16303.0,55.0,261.2
2025-09-20 06:46:00,9.9,76.1,1.0,11016.9,16303.0,46.0,114.0
2025-09-20 06:46:01,11.2,76.6,3.0,10956.3,16303.0,46.0,69.0
2025-09-20 06:46:02,17.7,77.7,94.0,10947.8,16303.0,55.0,203.9
2025-09-20 06:46:03,8.6,77.5,1.0,10933.4,16303.0,47.0,213.4
2025-09-20 06:46:04,5.2,77.5,0.0,10933.4,16303.0,46.0,68.4
2025-09-20 06:46:05,8.2,77.5,97.0,10887.1,16303.0,59.0,86.8
2025-09-20 06:46:06,8.7,77.5,1.0,10891.5,16303.0,47.0,252.6
2025-09-20 06:46:07,7.1,77.7,0.0,10890.1,16303.0,45.0,68.5
2025-09-20 06:46:08,9.8,76.0,95.0,10885.1,16303.0,54.0,96.8
2025-09-20 06:46:09,10.6,73.4,97.0,10883.8,16303.0,55.0,275.8
2025-09-20 06:46:10,6.9,72.3,95.0,10874.1,16303.0,56.0,277.5
2025-09-20 06:46:11,7.1,72.3,97.0,10864.3,16303.0,56.0,276.6
